                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7982,                 2.4473,                   1.27,                0.01577,                0.94038,                0.29516,                0.15819,                 1.3949,                  3.145,                 1.0713,             0.00054304,             0.00054304,             0.00054304
                      1,                 1.4177,                 1.3229,                 1.0655,                0.73706,                0.07454,                0.21682,                0.08335,                 1.5158,                 3.1189,                 1.1824,              0.0010878,              0.0010878,              0.0010878
                      2,                 1.4586,                 1.2429,                 1.1024,                 0.8365,                0.77186,                0.84294,                0.37519,                 1.8362,                 1.4932,                 1.2789,              0.0016216,              0.0016216,              0.0016216
                      3,                 1.4001,                 1.1467,                 1.0721,                0.93083,                0.89518,                0.93442,                0.62649,                 1.2717,                0.90443,                 1.0315,              0.0016175,              0.0016175,              0.0016175
                      4,                 1.3195,                 1.0052,                 1.0497,                0.92014,                0.87358,                0.92183,                0.57566,                  1.598,                 1.0061,                 1.1755,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.3451,                0.95523,                 1.0513,                0.95271,                0.96423,                0.97971,                0.67005,                 1.1859,                0.75876,                 1.0263,               0.001601,               0.001601,               0.001601
                      6,                 1.2583,                0.87583,                  1.038,                 0.8442,                0.96471,                0.96631,                0.65667,                 1.3564,                 0.8368,                 1.0712,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.2528,                0.81523,                 1.0279,                0.91593,                0.93831,                 0.9488,                0.67773,                 1.1919,                0.72303,                 1.0407,               0.001568,               0.001568,               0.001568
                      8,                 1.2361,                0.78513,                 1.0174,                0.95204,                0.95343,                0.97667,                0.69901,                 1.1581,                0.64805,                  1.023,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.1983,                 0.7562,                 1.0025,                0.87736,                0.87793,                0.94834,                0.72162,                 1.0696,                0.71369,                0.98037,               0.001535,               0.001535,               0.001535
                     10,                  1.208,                0.75004,                  1.024,                0.91594,                0.93111,                0.96799,                0.70494,                 1.0757,                0.64424,                0.98564,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.2224,                0.73911,                 1.0207,                0.96522,                 0.9436,                0.98397,                0.70277,                 1.1039,                0.58817,                0.98225,               0.001502,               0.001502,               0.001502
                     12,                 1.1716,                0.68872,                0.99901,                0.95962,                0.96926,                0.97973,                0.74732,                 1.0767,                0.55886,                0.99401,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.1217,                0.65611,                0.98176,                0.95733,                0.95914,                0.98426,                0.71745,                 1.1817,                0.59159,                 1.0113,               0.001469,               0.001469,               0.001469
                     14,                  1.143,                0.65539,                0.99008,                0.97143,                0.96872,                0.98181,                0.72791,                 1.1545,                0.55435,                0.99599,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.1457,                0.64657,                0.98532,                 0.9732,                 0.9716,                0.99069,                0.74449,                 1.0618,                0.55718,                0.99556,               0.001436,               0.001436,               0.001436
                     16,                 1.1091,                0.62924,                0.97951,                0.95099,                0.95857,                0.98481,                 0.6824,                 1.3615,                 0.6246,                 1.0832,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.1293,                0.64067,                0.98209,                0.96297,                 0.9748,                0.98564,                0.76258,                 1.0231,                0.52422,                0.96077,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.1034,                0.61632,                0.97667,                0.96519,                0.98317,                0.98591,                0.72439,                 1.1153,                0.54006,                 1.0093,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.0931,                 0.6043,                0.97085,                0.94919,                0.98174,                0.98693,                0.75688,                 1.0513,                0.53928,                 0.9768,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.0734,                0.60037,                0.96924,                0.96296,                0.95413,                0.98603,                0.74654,                 1.0851,                0.53322,                0.98776,              0.0013534,              0.0013534,              0.0013534
                     21,                  1.076,                0.60789,                0.96808,                0.95821,                  0.976,                0.98753,                0.74507,                 1.0654,                0.51688,                0.97952,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.0482,                0.58388,                0.96093,                0.96809,                0.97639,                0.98959,                0.75782,                 1.0593,                0.50936,                0.96244,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.0729,                0.59067,                0.97019,                0.95294,                0.98273,                0.99221,                0.77247,                  1.005,                0.48971,                0.95659,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.0931,                0.58503,                0.97168,                 0.9809,                0.98569,                0.99239,                0.77035,                0.99647,                 0.5041,                0.94871,              0.0012874,              0.0012874,              0.0012874
                     25,                  1.051,                0.56915,                0.95556,                 0.9734,                0.98569,                0.98808,                0.77306,                0.99161,                0.49175,                 0.9477,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.0853,                0.58587,                0.97099,                0.95018,                0.98024,                0.98993,                0.76363,                 1.0006,                0.50695,                 0.9645,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.0708,                0.58522,                0.96417,                0.96503,                0.97119,                0.99008,                0.78201,                 1.0272,                0.49548,                0.96714,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.0347,                0.57604,                0.96064,                0.95179,                0.96853,                0.99099,                0.73427,                 1.0754,                0.54256,                0.98547,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.0212,                0.56236,                0.96016,                  0.971,                0.96898,                0.98653,                0.76143,                  1.065,                0.49938,                0.96972,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.0397,                0.56011,                0.95629,                0.97445,                0.96752,                0.98602,                0.74015,                 1.1875,                0.54323,                 1.0001,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.0171,                0.54822,                0.95792,                0.96993,                0.96469,                0.98935,                0.75583,                  1.093,                0.50566,                 1.0055,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.0342,                0.54534,                0.95517,                 0.9743,                0.97715,                0.98918,                0.76943,                 1.0243,                0.47166,                0.97825,              0.0011554,              0.0011554,              0.0011554
                     33,                   1.03,                0.54478,                0.95544,                0.95935,                0.96656,                0.98764,                0.75867,                 1.0624,                0.51037,                0.96806,              0.0011389,              0.0011389,              0.0011389
                     34,                0.97298,                0.51371,                0.94358,                0.97349,                0.98065,                0.99148,                 0.7848,                0.96474,                0.47133,                0.94447,              0.0011224,              0.0011224,              0.0011224
                     35,                0.96798,                0.50863,                0.93706,                0.97299,                0.98141,                0.98695,                  0.785,                0.96813,                0.45861,                0.93968,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.0143,                 0.5233,                0.95016,                0.97402,                 0.9799,                0.99133,                0.78179,                 1.0005,                 0.4679,                0.95329,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0087,                 0.5286,                0.94815,                0.96787,                 0.9796,                0.98541,                0.77442,                0.99868,                0.47139,                 0.9481,              0.0010729,              0.0010729,              0.0010729
                     38,                0.97372,                0.51335,                 0.9348,                0.97667,                0.97344,                0.99013,                0.80546,                0.92981,                0.44005,                0.93235,              0.0010564,              0.0010564,              0.0010564
                     39,                0.97049,                0.51091,                0.93663,                0.96892,                0.98078,                0.99103,                0.78876,                 0.9513,                0.44628,                0.93708,              0.0010399,              0.0010399,              0.0010399
                     40,                0.97172,                0.50975,                0.93444,                0.98142,                0.98278,                0.99154,                0.77632,                0.97389,                0.46177,                0.94607,              0.0010234,              0.0010234,              0.0010234
                     41,                0.97397,                0.52744,                0.93852,                0.96628,                0.96643,                0.99262,                0.80373,                0.95473,                0.46088,                0.95034,              0.0010069,              0.0010069,              0.0010069
                     42,                0.95015,                0.50441,                0.93091,                0.96066,                0.96441,                0.98644,                0.77541,                0.98082,                 0.4663,                0.95674,             0.00099036,             0.00099036,             0.00099036
                     43,                0.95295,                0.49881,                0.93156,                0.97788,                0.97365,                0.98285,                0.78249,                0.97905,                0.46782,                0.94097,             0.00097386,             0.00097386,             0.00097386
                     44,                0.93772,                0.49106,                0.92982,                0.98738,                0.98092,                0.99106,                0.80854,                0.90831,                0.42724,                0.93199,             0.00095736,             0.00095736,             0.00095736
                     45,                0.95481,                0.49667,                  0.941,                0.96532,                0.98216,                0.99175,                0.80151,                0.90123,                0.43781,                0.92563,             0.00094085,             0.00094085,             0.00094085
