                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7244,                 2.1897,                 1.1983,                0.44968,                0.26183,                0.52271,                0.31822,                 1.3486,                 2.2084,                 1.1007,             0.00054935,             0.00054935,             0.00054935
                      1,                 1.3787,                 1.2854,                 1.0609,                0.56667,                0.76112,                0.67053,                0.42149,                 1.2285,                 1.2417,                 1.0491,              0.0010941,              0.0010941,              0.0010941
                      2,                 1.3779,                 1.1762,                 1.0621,                0.90679,                0.92342,                0.95847,                0.66429,                 1.2333,                 1.0017,                 1.0465,              0.0016278,              0.0016278,              0.0016278
                      3,                 1.3168,                 1.0691,                 1.0454,                0.92295,                0.90053,                0.94615,                0.66262,                 1.2273,                0.95183,                 1.0494,              0.0016175,              0.0016175,              0.0016175
                      4,                 1.2797,                0.97363,                 1.0353,                0.80205,                0.86001,                0.92066,                0.63197,                 1.2266,                0.93346,                 1.0161,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.2374,                0.87726,                 1.0177,                0.93376,                0.94859,                0.96802,                0.68658,                 1.1973,                0.77973,                 1.0602,               0.001601,               0.001601,               0.001601
                      6,                 1.1821,                0.82499,                 1.0124,                0.93049,                0.93243,                0.97981,                0.72907,                 1.1002,                0.71104,                0.99174,              0.0015845,              0.0015845,              0.0015845
                      7,                  1.186,                0.77841,                0.99957,                0.93653,                0.94741,                0.95417,                0.68325,                 1.1713,                 0.6725,                 1.0289,               0.001568,               0.001568,               0.001568
                      8,                 1.1912,                 0.7809,                 1.0063,                0.95792,                0.96922,                0.98575,                0.73063,                 1.1227,                0.61569,                0.99561,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.1294,                0.72304,                0.98852,                0.96857,                0.94713,                0.98565,                0.72592,                 1.0866,                0.60757,                0.99567,               0.001535,               0.001535,               0.001535
                     10,                 1.1303,                0.69364,                0.98188,                0.94942,                0.96476,                0.98306,                0.73385,                 1.1267,                0.59316,                0.99296,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.0973,                0.66372,                 0.9754,                0.94391,                0.94535,                0.97768,                0.73093,                 1.0656,                0.58416,                0.99054,               0.001502,               0.001502,               0.001502
                     12,                 1.0975,                0.66338,                 0.9727,                 0.9625,                0.94463,                0.98121,                0.74954,                 1.0979,                0.62475,                0.98823,              0.0014855,              0.0014855,              0.0014855
                     13,                   1.11,                 0.6808,                0.98258,                0.95572,                0.93922,                0.97996,                0.73455,                 1.1015,                0.57836,                0.99182,               0.001469,               0.001469,               0.001469
                     14,                 1.0737,                0.63442,                0.96856,                0.95122,                0.94595,                0.98177,                0.72175,                 1.1076,                0.62062,                0.99029,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.0555,                0.62129,                0.96191,                0.93702,                0.97641,                0.98652,                0.75305,                  1.075,                0.54012,                0.98479,               0.001436,               0.001436,               0.001436
                     16,                 1.0535,                0.61466,                0.96811,                0.95977,                0.97186,                0.99038,                0.78765,                0.96915,                0.50769,                0.94756,              0.0014195,              0.0014195,              0.0014195
                     17,                  1.063,                0.61079,                0.96232,                0.94947,                0.97302,                 0.9827,                0.76058,                 1.0075,                0.51661,                0.97094,              0.0014029,              0.0014029,              0.0014029
                     18,                  1.036,                0.58469,                0.95756,                0.95647,                0.95314,                0.98496,                0.77971,                 1.0049,                0.52331,                0.95926,              0.0013864,              0.0013864,              0.0013864
