                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7688,                 2.7012,                 2.5269,                 1.1859,                0.68134,                0.66411,                0.72594,                0.35747,                0.58878,                0.55862,                0.52166,                0.19645,                 1.5222,                 2.2171,                 1.7725,                 1.1423,             0.00066255,             0.00066255,             0.00066255
                      1,                 1.6095,                 2.4133,                 1.6204,                 1.1439,                0.81092,                0.76354,                0.80659,                0.42863,                0.71423,                0.67218,                0.57795,                0.19219,                 1.3933,                 2.1957,                 1.3729,                  1.079,              0.0013263,              0.0013263,              0.0013263
                      2,                 1.7205,                 2.2534,                  1.687,                 1.1725,                0.79908,                0.77273,                0.79072,                0.39198,                 0.7372,                0.70131,                0.66977,                0.26155,                 1.6821,                  2.074,                 1.3857,                 1.2765,              0.0019871,              0.0019871,              0.0019871
                      3,                  1.665,                 2.2552,                 1.7106,                 1.2124,                 0.8128,                0.76136,                0.84105,                0.42431,                 0.6683,                  0.625,                0.58684,                0.19709,                 1.5496,                 2.0862,                 1.3172,                 1.1954,              0.0019868,              0.0019868,              0.0019868
                      4,                 1.5933,                 2.1454,                 1.4608,                 1.1456,                0.83509,                0.76725,                0.86742,                0.50981,                 0.7165,                0.64394,                0.63075,                0.20236,                  1.443,                 2.2332,                 1.2851,                 1.1616,              0.0019868,              0.0019868,              0.0019868
                      5,                 1.5232,                 2.1144,                 1.3137,                  1.113,                0.85021,                0.81818,                0.87929,                0.48573,                0.75314,                0.69337,                0.67818,                0.22334,                 1.4397,                 2.1072,                 1.1622,                 1.1076,              0.0019824,              0.0019824,              0.0019824
                      6,                 1.4679,                 1.9676,                 1.2886,                 1.0834,                0.87813,                0.81882,                0.90757,                0.55252,                0.79514,                0.72727,                0.71474,                0.27734,                 1.3032,                 1.9865,                 1.0992,                  1.076,               0.001978,               0.001978,               0.001978
                      7,                 1.4882,                 1.9679,                 1.2482,                 1.1046,                0.84624,                0.82576,                0.88691,                0.49833,                0.76167,                0.66582,                0.66051,                0.20301,                  1.466,                 2.0447,                 1.1197,                 1.1457,              0.0019736,              0.0019736,              0.0019736
                      8,                 1.4755,                 2.0268,                 1.2406,                 1.1317,                0.86974,                0.87121,                0.92687,                0.56324,                0.77258,                0.74621,                0.73651,                0.27266,                 1.3059,                 2.0496,                 1.0144,                 1.0951,              0.0019692,              0.0019692,              0.0019692
                      9,                 1.4844,                 2.0592,                 1.2152,                 1.1405,                0.88996,                0.85985,                0.92744,                0.54499,                0.79347,                   0.75,                0.75442,                0.24917,                 1.3772,                 1.9833,                 1.0151,                 1.1193,              0.0019648,              0.0019648,              0.0019648
