                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7836,                 1.9295,                 1.3465,                0.01441,                0.76892,                0.24032,                0.10948,                 1.5994,                 3.0976,                 1.3627,             0.00065455,             0.00065455,             0.00065455
                      1,                 1.5175,                 1.1655,                 1.1911,                0.79163,                0.55624,                0.62287,                0.25074,                  2.012,                 2.1799,                 1.4899,              0.0013169,              0.0013169,              0.0013169
                      2,                 1.4243,                 1.0136,                 1.1631,                0.76146,                0.62372,                 0.6883,                0.26823,                 1.8839,                 1.5922,                 1.5028,              0.0019748,              0.0019748,              0.0019748
                      3,                 1.3951,                0.97251,                 1.1513,                0.89048,                 0.7771,                0.87545,                0.48682,                 1.5207,                 1.2063,                 1.2241,              0.0019802,              0.0019802,              0.0019802
                      4,                 1.3013,                0.87841,                 1.1264,                0.69867,                0.71779,                0.77055,                 0.4196,                 1.6375,                 2.0403,                 1.2944,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.2829,                0.82256,                 1.1013,                0.89618,                0.90029,                0.95822,                 0.5708,                 1.3628,                0.80866,                 1.1292,              0.0019736,              0.0019736,              0.0019736
                      6,                 1.2332,                0.77096,                 1.0732,                0.91475,                 0.8589,                 0.9195,                0.45401,                 1.7337,                0.92427,                 1.4072,               0.001967,               0.001967,               0.001967
                      7,                 1.1865,                0.71933,                 1.0587,                0.97316,                0.93047,                0.98168,                0.59836,                 1.3604,                0.73086,                  1.165,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.1377,                0.67958,                 1.0514,                0.96361,                0.91616,                0.97549,                0.59496,                  1.345,                0.71128,                 1.1532,              0.0019538,              0.0019538,              0.0019538
                      9,                 1.1201,                0.66926,                 1.0421,                0.95208,                0.89385,                0.94935,                   0.56,                 1.4228,                0.79616,                 1.1782,              0.0019472,              0.0019472,              0.0019472
                     10,                  1.116,                0.65112,                 1.0363,                0.93288,                0.91002,                0.95878,                0.55341,                 1.3742,                0.79547,                 1.1585,              0.0019406,              0.0019406,              0.0019406
                     11,                 1.1238,                0.65665,                 1.0493,                0.93437,                0.91616,                0.96486,                0.60667,                 1.2901,                0.66243,                 1.1308,               0.001934,               0.001934,               0.001934
                     12,                 1.0352,                0.61118,                 1.0148,                0.96219,                0.93681,                0.97811,                0.61652,                 1.2857,                0.59737,                 1.1136,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.0865,                0.62181,                 1.0311,                0.92179,                0.87935,                0.93858,                0.53541,                 1.4077,                0.75224,                 1.1575,              0.0019208,              0.0019208,              0.0019208
                     14,                 1.0435,                0.60313,                 1.0157,                0.93345,                 0.8998,                0.95697,                0.61887,                 1.2256,                0.71312,                 1.1112,              0.0019142,              0.0019142,              0.0019142
                     15,                 1.0132,                0.57602,                 1.0067,                0.96721,                0.91411,                0.97144,                0.58758,                 1.3632,                0.65788,                 1.1594,              0.0019076,              0.0019076,              0.0019076
                     16,                 1.0218,                0.57755,                 1.0025,                0.96312,                0.96141,                0.97435,                 0.6683,                 1.1157,                0.56121,                   1.05,               0.001901,               0.001901,               0.001901
                     17,                 1.0012,                0.57156,                 1.0083,                0.94456,                0.90583,                 0.9651,                0.57895,                 1.3517,                0.64528,                  1.144,              0.0018944,              0.0018944,              0.0018944
                     18,                 1.0213,                0.57633,                0.99985,                0.96251,                0.94498,                0.97686,                0.63474,                 1.2437,                0.63839,                 1.0856,              0.0018878,              0.0018878,              0.0018878
                     19,                0.97136,                0.55688,                0.98738,                0.97136,                0.97103,                0.98634,                0.69879,                 1.0798,                0.52849,                  1.019,              0.0018812,              0.0018812,              0.0018812
                     20,                0.96968,                0.55571,                0.99273,                0.96055,                0.96319,                0.98804,                0.68278,                 1.0941,                0.52985,                 1.0303,              0.0018746,              0.0018746,              0.0018746
                     21,                0.99272,                 0.5579,                0.99759,                0.98304,                0.94804,                0.98152,                0.69281,                 1.0869,                0.53487,                 1.0254,               0.001868,               0.001868,               0.001868
                     22,                0.95794,                0.54377,                0.97907,                0.95802,                0.95501,                0.98527,                0.65885,                 1.1735,                0.54155,                 1.0804,              0.0018614,              0.0018614,              0.0018614
                     23,                0.95612,                0.52797,                0.98334,                0.96234,                0.94274,                0.97166,                0.58207,                 1.3745,                0.60476,                  1.133,              0.0018548,              0.0018548,              0.0018548
                     24,                 0.9253,                0.51536,                0.97113,                0.97728,                0.96773,                0.98713,                0.71575,                 1.0087,                0.49766,                0.98996,              0.0018482,              0.0018482,              0.0018482
                     25,                0.93066,                0.52461,                0.96795,                0.95922,                0.96208,                0.98748,                0.66559,                 1.1389,                0.56936,                 1.0604,              0.0018416,              0.0018416,              0.0018416
                     26,                0.92947,                0.51044,                0.96872,                0.98575,                0.94888,                0.98655,                0.70526,                 1.0287,                0.48656,                 1.0027,               0.001835,               0.001835,               0.001835
                     27,                0.94256,                0.52353,                 0.9759,                0.97524,                0.96658,                0.99103,                0.71528,                 1.0198,                0.48952,                 1.0048,              0.0018284,              0.0018284,              0.0018284
                     28,                0.92197,                0.51509,                0.96918,                0.97214,                 0.9591,                0.98386,                0.67612,                 1.1128,                0.54072,                 1.0418,              0.0018218,              0.0018218,              0.0018218
                     29,                0.92913,                 0.5122,                0.96878,                0.98349,                0.97342,                0.99072,                0.73199,                  1.012,                0.48228,                 0.9997,              0.0018152,              0.0018152,              0.0018152
                     30,                0.89868,                0.49836,                 0.9599,                0.97739,                 0.9723,                 0.9886,                0.73588,                  1.004,                0.45905,                0.98945,              0.0018086,              0.0018086,              0.0018086
                     31,                0.87479,                0.48567,                0.95266,                0.98551,                0.97334,                0.99115,                0.72282,                 1.0192,                0.48575,                0.99729,               0.001802,               0.001802,               0.001802
                     32,                0.91411,                0.50162,                0.96267,                0.97358,                0.97964,                0.99099,                 0.7109,                 1.0388,                0.48514,                 1.0139,              0.0017954,              0.0017954,              0.0017954
                     33,                0.90698,                0.49902,                0.96141,                0.98684,                 0.9816,                0.98933,                0.73644,                0.96304,                0.45273,                0.98426,              0.0017888,              0.0017888,              0.0017888
                     34,                0.86805,                0.48294,                0.95218,                0.95922,                0.96319,                0.97778,                0.65823,                 1.1652,                0.51326,                 1.0558,              0.0017822,              0.0017822,              0.0017822
                     35,                0.87295,                0.47992,                0.95453,                0.97939,                0.97194,                0.99027,                0.73773,                 0.9884,                0.47218,                0.98684,              0.0017756,              0.0017756,              0.0017756
                     36,                0.84817,                0.47713,                0.94469,                0.98552,                0.96524,                0.99122,                0.73261,                0.92216,                0.46412,                0.96961,               0.001769,               0.001769,               0.001769
                     37,                0.88339,                0.48776,                0.95558,                0.98353,                0.97955,                0.98558,                0.71471,                0.99489,                 0.4709,                0.98709,              0.0017624,              0.0017624,              0.0017624
                     38,                0.87757,                0.48614,                0.95042,                0.97268,                0.98569,                0.99043,                0.72223,                0.99697,                 0.4765,                 0.9915,              0.0017558,              0.0017558,              0.0017558
                     39,                0.84904,                0.47234,                 0.9457,                0.97548,                0.97627,                0.98988,                0.74149,                0.96102,                0.44526,                0.98402,              0.0017492,              0.0017492,              0.0017492
                     40,                0.86242,                0.47456,                0.95133,                0.98547,                0.97109,                0.99118,                0.73463,                0.98208,                0.47192,                 0.9897,              0.0017426,              0.0017426,              0.0017426
                     41,                0.87012,                0.47525,                0.95052,                0.96871,                0.98364,                0.98819,                 0.7401,                0.96287,                0.46123,                0.97838,               0.001736,               0.001736,               0.001736
                     42,                0.84508,                0.46154,                0.93869,                0.98151,                0.97716,                0.98931,                0.74333,                0.95406,                0.45003,                0.97649,              0.0017294,              0.0017294,              0.0017294
                     43,                0.84251,                0.46518,                0.94334,                0.98179,                 0.9816,                0.99134,                0.75459,                0.95564,                0.43114,                0.98006,              0.0017228,              0.0017228,              0.0017228
                     44,                 0.8263,                0.45492,                0.93357,                0.97955,                0.97972,                0.99213,                0.74599,                0.94648,                 0.4529,                0.97469,              0.0017162,              0.0017162,              0.0017162
                     45,                0.83348,                 0.4557,                 0.9347,                0.97168,                0.98239,                0.99149,                0.74232,                0.99765,                0.45139,                0.99239,              0.0017096,              0.0017096,              0.0017096
                     46,                0.84042,                 0.4637,                0.93775,                0.97733,                0.96964,                0.98871,                0.71824,                0.98845,                0.46312,                0.99389,               0.001703,               0.001703,               0.001703
                     47,                0.82029,                0.45654,                0.93222,                0.42802,                0.23517,                0.21641,                0.06713,                 2.8534,                 2.4002,                 2.2606,              0.0016964,              0.0016964,              0.0016964
                     48,                0.82625,                 0.4544,                0.94109,                0.98569,                0.98364,                0.99247,                0.75613,                0.95142,                0.42897,                0.96773,              0.0016898,              0.0016898,              0.0016898
                     49,                0.82549,                0.45745,                 0.9332,                0.98971,                0.98299,                0.99207,                0.77232,                0.92035,                0.42912,                0.95248,              0.0016832,              0.0016832,              0.0016832
                     50,                0.80877,                0.44712,                0.93387,                0.96472,                0.95069,                0.97791,                0.62324,                 1.2422,                0.53313,                 1.0924,              0.0016766,              0.0016766,              0.0016766
                     51,                0.82935,                0.45452,                0.93303,                0.96148,                0.91411,                0.97137,                0.58828,                 1.3211,                0.57749,                 1.1615,                0.00167,                0.00167,                0.00167
                     52,                0.81731,                0.44398,                0.93514,                0.98972,                 0.9841,                0.99217,                0.74947,                 0.9579,                0.43101,                0.97991,              0.0016634,              0.0016634,              0.0016634
                     53,                 0.8122,                0.44416,                 0.9365,                 0.9817,                0.98713,                 0.9906,                0.75312,                0.95655,                0.44394,                0.96932,              0.0016568,              0.0016568,              0.0016568
                     54,                0.80478,                0.43992,                0.92497,                0.98267,                0.98569,                 0.9907,                0.76377,                0.91039,                0.43389,                0.96471,              0.0016502,              0.0016502,              0.0016502
                     55,                0.79145,                0.43692,                0.92557,                0.98572,                0.98795,                0.99228,                0.77149,                0.89478,                0.41436,                0.95509,              0.0016436,              0.0016436,              0.0016436
                     56,                0.79192,                0.43227,                0.92394,                0.85339,                0.84517,                0.89985,                0.48364,                 1.5389,                0.84045,                 1.3451,               0.001637,               0.001637,               0.001637
